Название вакансии,URL,Название компании,Описание
Инженер внедрения и сопровождения,https://samara.hh.ru/vacancy/29687488?query=python,ООО Фаззи Лоджик Лабс,"Oracle DB: составление SQL запросов, анализ планов запросов, AWR, доработка pl\sql процедур, установка, настройка, оптимизация. - Операционными системами: *nix систем... Знание одного из скриптовых языков, например: python, bash scripting, и др. Умение быстро обучаться, анализировать файлы логов, производить первичный поиск..."
Системный администратор linux / DevOps,https://samara.hh.ru/vacancy/29731684?query=python, Extyl-pro,"Проектирование, создание и поддержка production и development проектов. Траблшутинг. Взаимодействие с разработчиками. Взаимодействие с хостинг-площадками (с техподдержкой).  Знание архитектуры высоконагруженных, масштабируемых и отказоустойчивых проектов. Навыки программирования на скриптовых языках (python, php и тп). Опыт работы с системами..."
Junior Business Analyst / Младший продуктовый аналитик,https://samara.hh.ru/vacancy/29781215?query=python, Uchi.ru,"Анализировать массивы данных, отвечать на вопросы бизнеса: (как сделать продукт лучше; где узкие места и точки роста в продажах). -  Знание матстатистики не ниже уверенного базового уровня. - SQL, Python (pandas, scipy, matplotlib), Excel. - Умение отличить случайность от закономерности, найти причинно..."
DevOps engineer (Production engineer),https://samara.hh.ru/vacancy/29771654?query=python, YCLIENTS LLC,"Эволюционный (но очень активный) переход на отказоустойчивую архитектуру на базе Docker. Сбор, анализ и хранение логов со всех сервисов продукта.  Владение Python/Go/NodeJs (в порядке приоритета), понимание принципов реализации эффективной многозадачности, навыки создания инструментов для решения практических задач. "
QA Engineer,https://samara.hh.ru/vacancy/29554653?query=python, Dialog,"Развивать и расширять пулл автотестов. Быть знакомым с автоматизацией и её best practices на уровне, достаточном для написания тестов для... Понимание процесса CI, принципов автоматизированных e2e тестов. Знание Python или JavaScript (А лучше оба :-) ) на уровне, позволяющем писать..."
CI engineer (Devops),https://samara.hh.ru/vacancy/29555666?query=python, Parallels,"Сопровождение инсталляции Jenkins и поддержание её в работоспособном состоянии. Сопровождение и модификация существующих джобов. Поддержание работоспособности сборочных сред. Понимание принципов систем управление конфигурацией (Chef, Ansible etc.). Знание Python. Знакомство с Jenkins pipeline, умение писать и читать разработанные скрипты. "
SRE engineer / DevOps,https://samara.hh.ru/vacancy/29551236?query=python, Додо Пицца,Организация работы в Kubernetes для возможности хостить на нём высоконагруженные приложения. Поддержка легаси монолита. Поддержка тестовой инфраструктуры для постоянно увеличивающегося... Опыт работы с SaaS и Web. Не боится быть On-Call.
Аналитик BI,https://samara.hh.ru/vacancy/29674416?query=python, N1.RU,"Анализировать поведение посетителей и клиентов N1.RU, выявлять ключевые сегменты. Следить за тем, что все данные необходимые для анализа собираются корректно.  Имели опыт работы с BI инструментами, особенно с Power BI. Имеете опыт анализа данных с помощью Python. Работали по Agile."
Младший программист,https://samara.hh.ru/vacancy/29737553?query=python,ЗАО НТЦ Передовые Системы,"Проектирование и разработка модулей для программных и аппаратно-программных комплексов. Перспективные разработки и исследования. Владение C/C++, желательно знание Qt. Знание скриптового языка программирования типа bash, python, PHP или Ruby. Владение Linux на уровне..."
Backend - разработчик,https://samara.hh.ru/vacancy/29733887?query=python, 101XP,"Проектирование архитектуры и разработка серверной части игры. Разработка, доработка и поддержка справочной базы данных. Опыт работы от 3 лет. Уверенное знание Golang (PHP), MySQL. CSS, и JavaScrip. Знание и опыт конфигурирования web-серверов (nginx..."
Support Engineer,https://samara.hh.ru/vacancy/29779243?query=python, Renaissance Capital,Electronic trading department has a leading technology infrastructure and platforms which drives product and business development. Technology and pro-active... General understanding of financial markets concepts. Scripting skills (bash/python/perl/windows shell). Would be perfect: Experience in trading system...
Web Developer (Front-end),https://samara.hh.ru/vacancy/29715402?query=python, МФТИ ГУ,"Разработка Web UI для наших сервисов. Работа с системами контроля версий (мы используем git). Знание Python, особенно опыт разработки web-приложений (Flask, Django), или желание его..."
Python developer Data mining,https://samara.hh.ru/vacancy/27042457?query=python,ЗАО 1С,"Разработку алгоритмов подготовки, преобразования и верификации данных товарной номенклатуры из различных источников. Опыт разработки на языке python от 3х лет. Высшее техническое образование. Хорошую математическую подготовку, знание математической статистики. Технический английский. "
PHP разработчик,https://samara.hh.ru/vacancy/29661759?query=python,ООО МАКСИБУКИНГ,Разработки сервисов на Symfony. Сопровождения существующего кода. Оптимизации запросов к БД. Знание PHP. Понимание и способность применять на практике ООП. Знание основ HTML и CSS. Наличие навыков документирования кода. 
Data Scientist/ Специалист по машинному обучению,https://samara.hh.ru/vacancy/28228160?query=python,ООО Иви.ру,"Разработка высоконагруженного сервиса выдачи рекомендаций на Python. Построение моделей предсказания и рекомендательных систем. Построение вспомогательных ML моделей и инструментов.  Уверенное знание Python 3.x (в частности, numpy, scipy, scikit-learn, pandas). Уверенное знание SQL (Hydra использует данные из Postgres..."
Team Lead Back-end разработчик (machine learning),https://samara.hh.ru/vacancy/29236450?query=python,АО Компания QIWI,"...стек: Spark & Spark Streaming, Reactive Streams, Tensorflow, Cassandra, Kafka, Scala, Python. Создавать высоконагруженное приложение для работы с большими данными, отвечающее... Опыт написания кода как минимум на двух языках: Scala, Python, Java, C++. Опыт работы с реляционными базами данных (PostgreSQL, MySQL..."
Количественный аналитик (стажер)/quantitative analyst,https://samara.hh.ru/vacancy/29485545?query=python,ООО Ребус Кэпитал,"Разработка новых и доработка существующих скриптов на Python/R для анализа данных и решения прочих прикладных задач. Написание и доработка... Знание теории вероятностей/математической статистики, регрессионного анализа. Знание Python на базовом уровне. Хорошие навыки сбора, обработки и анализа данных. "
Fullstack JavaScript Developer,https://samara.hh.ru/vacancy/29769690?query=python,ООО Джетлекс, ...читать/писать на английском языке. Будет плюсом: - опыт работы с high-load. - опыт работы с Node.js. - опыт работы с Python.
Аналитик,https://samara.hh.ru/vacancy/29686533?query=python,ООО Позитив ФМ,"Внедрить аналитические инструменты в продукты, настроить и отслеживать корректности работы счетчиков аналитики. Анализировать предметную область в рамках проекта.  Понимание принципов реляционных СУБД, знание SQL, JS, Power Bi, Python. Опыт работы с OLAP. Опыт работы с Big Data. "
Architect / Tech Director for Imunify360 project (Remote),https://samara.hh.ru/vacancy/29582650?query=python, Cloud Linux,"Imunify360 is an innovative security solution, powered by machine learning, for Linux Web servers. It is designed specifically for... Deep understanding of Linux and Python. Excellent organizational and interpersonal skills. Strong leadership qualities. Strong project management skills. Agile / Scrum. "
Разработчик PL/SQL,https://samara.hh.ru/vacancy/29342934?query=python, ТРИНИТИ,"O Разработка процедур интеграции Campaign Management с каналами контактирования (email,sms push, web т.д.) - PL/SQL, возможно JAVA/Python.  Опыт обработки больших массивов данных. Приветствуется знание и опыт разработки на JAVA/Python. Приветствуется опыт в области Campaign Management, Хранилища..."
Data Scientist,https://samara.hh.ru/vacancy/27924626?query=python, Неофлекс,"Моделирование кривых вероятности дефолта (PiT PD) для проектов IFRS 9 в зарубежных банках. Применение алгоритмов машинного обучения для решения бизнес... Опыт построения статистических и ML моделей. Опыт моделирования в R и/или Python. Владение классическими алгоритмами ML (регрессии, Random Forest..."
Инженер-программист / Разработчик WEB (HTML/JS/PHP/SQL),https://samara.hh.ru/vacancy/29855575?query=python,ООО Интернет-безопасность,"Разработка встроенных WEB-интерфейсов управления. Развитие и поддержка инфраструктурных сайтов. Приветствуются: Высшее образование технических ВУЗов. Знание библиотек ExtJS, JQuery, наборов Bootstrap, AngularJS. Опыт работы со средствами виртуализации. Знание языков python..."
Full-stack (JavaScript+Python) разработчик,https://samara.hh.ru/vacancy/28891621?query=python,ООО КЕЛЛИ СЕРВИСЕЗ ИТ РЕШЕНИЯ,"Обработки и визуализации данных на базе современных фрэймворков (в т.ч. sklearn, python-igraph, D3js и других).  Широкий опыт разработки на Python (2.x, 3.x) управление зависимостями (pip/easyinstall). Практика разработки с использованием web-фреймворков (Django..."
Web-программист,https://samara.hh.ru/vacancy/29645168?query=python,ИП QUASAR agency,"Разработка нового/доработка функционала сайтов, парсеров, сервисов, интеграция со сторонними сервисами (API, Webhook). PHP не ниже версии 5-7 (ООП). Python - базовые знания. MySQL, PostgreSQL. HTML5, CSS3, Bootstrap, Javascript. "
Data scientist,https://samara.hh.ru/vacancy/27292036?query=python, oneFactor,"Разработка алгоритмов машинного обучения для различных индустрий. Обработка уникальных массивов данных из разных секторов экономики (телеком, финансы, ритейл, horeca, транспорт... ...работы с соответствующими библиотеками (TensorFlow, Theano, Keras). Владение языками программирования (R, Python). Понимание принципов машинного обучения, байесовских методов, прикладной статистики."
Data Scientist,https://samara.hh.ru/vacancy/28956069?query=python, Ipsos Comcon,"Разработка алгоритмов анализа неструктурированных данных (публикации из социальных медиа, открытые вопросы анкет, фото и видео контента). Разработка скриптов для парсинга... Хороший уровень математической подготовки (теории вероятности и мат.статистики, методов прогнозирования и т.п.). Опыт программирования на Python в сфере анализа..."
PHP-разработчик,https://samara.hh.ru/vacancy/29822141?query=python, Веб-Мост,"Основной продукт нашей компании — ЭлЖур, электронный журнал для школ, детских садов, а также колледжей и даже институтов. Наша система помогает... Опыт разработки на PHP. Понимание принципов SOLID, KISS, DRY. Опыт работы с реляционными СУБД, в частности MySQL. Уверенное знание протокола..."
Специалист по тестированию,https://samara.hh.ru/vacancy/29767689?query=python, BestDoctor,"Функциональное тестирование разрабатываемых фич. Модульное тестирование. Тестирование мобильных приложений. Прием багов, обработка и поставка стандартных решений. Автоматизация тестирования (выделяем на... ...бы понимание процесса автоматизации тестирования). Минимальные технические знания Git, SQL, bash. Опыт работы с Python. Желание развиваться в сторону автотестов."
Senior\ Team Lead GoLang developer,https://samara.hh.ru/vacancy/29537443?query=python,ООО СофтПро,Работа в кросcфункциональной команде над созданием решения с высокими требованиями к качеству. Обсуждение требований с аналитиками и дизайнерами.  Имеет опыт серверной разработки от 4-х лет (go/python). Последние 2 года занимаетесь коммерческой разработкой на Go (Golang). 
Python Backend Developer (Big Data projects),https://samara.hh.ru/vacancy/29692516?query=python, МИА Россия сегодня,"Разработка бекэнд сервисов на Python для встраивания алгоритмов машинного обучения (крупнейший новостной сайт страны, около 20 млн хитов в день).  Высшее образование. Релевантный опыт работы. Хорошие навыки программирования на Python. Опыт работы с контейнерами Docker. Опыт работы с нереляционными базами..."
Системный администратор,https://samara.hh.ru/vacancy/29676236?query=python, Panasonic,"Установка, настройка рабочих мест, обучение и консультация пользователей. Участие в инфраструктурных проектах. Настройка и поддержка серверного, сетевого оборудования и оргтехники.  Знание языков программирования для автоматизации задач PowerShell, Python. Владение английским языком на уровне intermediate. Желание развиваться и получать новые навыки..."
Ведущий инженер-тестировщик (Senior QA Engineer),https://samara.hh.ru/vacancy/29362479?query=python, Вокорд,"С 1999 года Вокорд производит уникальное высокотехнологичное оборудование и разрабатывает программное обеспечение для систем распознавания лиц, распознавания номеров, видеонаблюдения и... По сути владение хоть каким-то языком программирования (скриптовым - powershell, python, ну или C#) на уровне решения небольших задач и..."
Full stack engineer,https://samara.hh.ru/vacancy/29706931?query=python, Scal.io,"Working knowledge of the modern JS toolchain - gulp, bower, npm, webpack, etc. Top of Market Pay for the right candidate... Required Skills and Experience: 5+ years of JavaScript experience with heavy emphasis on SPA architecture. 5+ years of..."
Data Engineer (SQL Server),https://samara.hh.ru/vacancy/29362556?query=python,ООО TrueNorth," Уверенное знание SQL Server 2012, Intergration Services. Базовые знания C#, Python 2.7 и 3.5. Готовность осваивать NoSQL-решения. "
Python разработчик,https://samara.hh.ru/vacancy/27367094?query=python, Group-IB,"Разработка бекэнд-части веб-приложений на языке Python (DJango framework). Проектирование и реализация API разрабатываемых систем. Документирование разрабатываемых AP.  Законченное высшее образование в техническом вузе. Хороший опыт программирования на Python, понимание концепций языка и Python way. Опыт написания модулей..."
DevOps / CI/CD / Инженер поддержки разработки,https://samara.hh.ru/vacancy/29923417?query=python,ООО SolidLab,"Участие в разработке межсетевого экрана уровня приложений, автоматизация, оптимизация и администрирование процесса выпуска релизов и дистрибутивов ПО, continious delivery для... Языки программирования: python (обязательно), bash. Навыки администрирования веб-серверов (nginx, apache). Приветствуются: Желательно иметь знакомство/опыт работы с большинством из..."
Deep Learning Engineer,https://samara.hh.ru/vacancy/29667472?query=python,ООО Хидбук Клауд,"Разработка и прототипирование алгоритмов решения CV задач. Ближайшие - детекция, идентификация, instance segmentation, object tracking. Поиск новых подходов в литературе, улучшение... Знания в области deep learning, понимание современных архитектур, алгоритмов машинного обучения. Опыт разработки на Python в ML (numpy/pandas/matplotlib..."
Python Developer,https://samara.hh.ru/vacancy/29835933?query=python, Orange Business Services,"Участие в разработке back-end существующих и новых продуктов и решений компании по направлениям: видео аналитика и/или системы позиционирования... Аналитическое мышление и высокий уровень самоорганизации. Опыт веб-разработки на Python. Опыт работы с NoSQL базами данных (MongoDB, Redis). "
Инженер по тестированию (прикладное ПО),https://samara.hh.ru/vacancy/29509483?query=python,ООО НТЦ Вулкан,"Разработка стратегии тестирования. Проведение сессионного исследовательского тестирования (session-based exploratory testing). Написание и выполнение сценариев тестирования (test case).  Базовые знания C/C++. Знание одного из скриптовых языков (powershell, python). Знание английского языка на уровне чтения технической документации. "
Cистемный администратор Linux,https://samara.hh.ru/vacancy/29920758?query=python, ITSOFT,"Умеете работать с активным сетевым оборудованием — администрирование, настройка отказоустойчивой инфраструктуры ЦОДа. Знаете скриптовые языки (python, php, bash, и т.п.). Знание и понимание, что такое LAMP, умение настраивать его компоненты, не путать его с LEMP-ом. Глубокое знание веб стека..."
Data Scientist,https://samara.hh.ru/vacancy/29930548?query=python, Сбербанк для экспертов,"Построение моделей (полный цикл: от проведения статистического анализа с целью отбора ключевых факторов до определения итоговой структуры модели) и разработка... Опыт решения задач machine learning. Уверенные навыки работы с Python (jupyter, numpy, scipy, pandas, scikit-learn, xgboost). Опыт работы с..."
Программист С++,https://samara.hh.ru/vacancy/29496486?query=python, APOLLO,"Проектирование новых модулей, расширение функционала существующих. Разработка, отладка, тестирование и первичное документирование программных модулей. Поддержка и исправление ошибок в существующих... Способность разбираться в чужом коде самостоятельно. Ответственность, высокая производительность. Дополнительным плюсом будут: Python. C#, .NET. Опыт работы с Gitlab/Gitlab..."
Senior QA Automation Engineer,https://samara.hh.ru/vacancy/29768408?query=python,ООО Умный Рекрутинг,"Frontend-1: JavaScript (React.js). Frontend-2: Chrome extension. Middleware: Python (Django, Postgres). Backend: Java REST API. Использует Apache Solr для... Имеете опыт написания автотестов на Java от 3х лет. Selenide/Selenium, TestNG, Yandex Allure, Jmeter - знакомые для вас технологии. "
Разработчик Qt/QML,https://samara.hh.ru/vacancy/29825439?query=python,ООО КВАНТ ПРОГРАММ,"Участие в разработке ПО. Профилирование, оптимизация производительности и использования ресурсов. Документирование кода. Создание технической документации. Участие в испытаниях программного обеспечения.  ...на уровне построения простейших запросов. Обучаемость и аккуратность. Ответственность. Опыт работы с PostgreSQL. Знание паттернов проектирования. Знание языков Python, bash."
Senior iOS developer,https://samara.hh.ru/vacancy/29827709?query=python, Scal.io,Top of Market Pay for the right candidate (in USD). Required Skills and Experience: 5+ years of iOS development experience. 2+ years of Swift experience. CocoaPods/Carthage expertise. 
Frontend-разработчик,https://samara.hh.ru/vacancy/29811218?query=python,ООО КомандаУ,"Разрабатывать SPA(singe page application) блокчейн приложения. HTML5 - кроссбраузерная верстка, верстка емайл писем, адаптивная и мобильная верстка.  Git - понимание что это такое, умение работать. Сборщики (Gulp, Grunt, Webpack ) - плюс. PHP,Python базовое понимание (Wordpress, Django) темплейтов - большой..."
Инженер по автоматизации тестирования (Python) \ Test Automation Engineer (Python),https://samara.hh.ru/vacancy/14658327?query=python, ЦИАН ГРУПП,"Участвовать в разработке автоматизированных регрессионных тестов для frontend-а и/или backend-а. Прорабатывать методики тестирования сложных компонентов (к примеру... Обладающего опытом программирования автоматизированных тестов на Python 3*. Быстрого и нацеленного на результат, с хорошим соотношением скорость-качество. "
Senior Data Scientist,https://samara.hh.ru/vacancy/29930082?query=python, Tele2,"Развитие инструментов, применяемых методик и математических моделей, привнесение новых алгоритмов и методов работы с данными. Наставничество и обучение как сотрудников... Владение инструментами преобразования и обработки данных, построения моделей. Отличное знание SQL, R, Python, Scala. Владение инструментами из стека Hadoop, разработка..."
DevOps-инженер,https://samara.hh.ru/vacancy/29820767?query=python, Lenvendo,"Поддержка и развитие интернет-проектов. Обеспечение бесперебойной работы инфраструктуры и сервисов. Анализ инцидентов, оценка архитектурных решений, ввод изменений с целью... Отличные знания ОС Linuх, общесистемного ПО и веб-стека (Nginx, PHP/Python, HAProxy, MySQL/PostgreSQL, Memcached, Redis, RabbitMQ, ELK). "
Junior Data Engineer,https://samara.hh.ru/vacancy/28809309?query=python, Double Data,"Подготовка и очистка данных с использование современных инструментов обработки данных (Python, Pandas, Apache Spark, Zeppelin, Jupyter Notebook). Контроль качества данных... ...таких инструментов, как Excel, Google Spreadsheets, Python, Apache Spark, Hadoop, Hive, SQL. Знание Python / Scala. Хорошие коммуникативные навыки: умение понятно..."
Full Stack Developer,https://samara.hh.ru/vacancy/29903886?query=python, Akvelon,"Работа end-to-end от продуктовых фич до deployment скриптов. Работа в распределенной команде. Agile. Знание Apache Kafka, Spark + Scala. Знание Python. Опыт работы в Agile командах (Scrum\Kanban). Опыт работы с зарубежными заказчиками. "
Backend developer (Python),https://samara.hh.ru/vacancy/29858734?query=python, Группа компаний PACK&FLY,"Разработка / доработка бэкенда для мобильного приложения (Full Stack). Хорошее знание Python (Django или Flask). Будет плюсом умение обращаться с БД PostgreSQL, MySQL, NoSQL."
Директор по трансформации,https://samara.hh.ru/vacancy/29794481?query=python, Dialog,"Внедрять Agile и DevOps практики в компанию. Развивать команды в разделении принципов и ценностей «гибких» практик разработки. Проведение внутренних обучающих... Способность читать и писать код на одном из языков (Python, Ruby, Java, C++ or C#). Понимание разработки и фреймворков RESTful..."
Системный администратор (Linux),https://samara.hh.ru/vacancy/29480221?query=python, amoCRM,"Эксплуатация всех окружений продукта (от dev до production). Мониторинг работы сервисов и подсистем, анализ их производительности и доступности.  Опыт (и желание) автоматизации на любом из языков (Bash, Perl, Python и др.). Знание сетевых протоколов TCP/IP и работы..."
Инженер по тестированию ПО/QA engineer,https://samara.hh.ru/vacancy/29526288?query=python,ООО Фаззи Лоджик Лабс,"Проведение ручного и автоматизированного тестирования. - Анализ, систематизация и составление подробного описания найденных в процессе тестирования ошибок. - Составление и актуализация тестовой... знание одного из скриптовых языков для автоматизации тестов, например: python, bash и др. - анализ лог-файлов. - знание различных инструментов автоматизации..."
Data Scientist / Аналитик,https://samara.hh.ru/vacancy/28739965?query=python, White Sky Digital Lab,"Анализ данных, построение моделей. Разработка отчетности в MS Power BI. Участие в формировании требований разработчикам. Проактивность — проявлять инициативность, не зажиматься... Опыт работы с данными, используя инструменты Python, SQL и т.д.. Опыт формулировки гипотез и их валидации для решения сложных..."
Преподаватель курсов программирования и робототехники,https://samara.hh.ru/vacancy/29867894?query=python,ООО КАРАТ,"промышленный дизайн. - изобретательство. Детский технопарк «Вертикальный взлет» является инновационной формой организации научно-технического творчества и учебно- исследовательской деятельности детей и... информационные технологии (программирование, большие данные, интернет вещей). - робототехника. - имеете высшее техническое/педагогическое образование. - увлеченный своим делом человек. - у Вас (или..."
Software Developer (machine learning/algorithm/AI Engineer),https://samara.hh.ru/vacancy/29883880?query=python, Gshopper,"A participant of All-Russian math olympiad or equivalent. As an engineer you will build out our A I operation... ...Learning, python, java, sql. Experienced in applying machine learning algorithms. Experienced in writing data processing code (pipes or python or..."
Data Science/Machine learning Analyst (AI),https://samara.hh.ru/vacancy/29935183?query=python, ZiMAD,"Develop, maintain, extend and verify assigned software modules using the Company Agile practices for high quality, highly performant code.  Experience with statistical package programming skills (e.g. Python, R). Excellent problem solver and self-starter; ability to question the..."
Testing Infrastructure & Services Manager,https://samara.hh.ru/vacancy/29780402?query=python, NVIDIA,You'll mentor and guide a team of engineers. You'll define KPIs and KOs for the system and the... 3+ years of software team management. Strong knowledge of Python. DevOps experience. Knowledge of algorithms and data structures. 
Инженер-программист Arduino,https://samara.hh.ru/vacancy/29452740?query=python, Амперка,"Работать с обращениями клиентов, у которых возникли технические вопросы, по электронной почте, телефону, на форуме. Писать мини-рецепты для решения... Достойный уровень знания C++ и JS(если ещё и Python — супер). Достойный уровень понимания аналоговой и цифровой электроники. "
Senior Data Scientist,https://samara.hh.ru/vacancy/27557884?query=python, IBS,"Руководство командой специалистов по исследованию данных. Обработка и анализ исходных данных Заказчика. Анализ процессов Заказчика/Взаимодействие со специалистами Заказчика.  Знание и опыт разработки на скриптовых языках Perl, Python, R: Keras, TensorFlow, PySpark. MsSQL, PostgreSQL, MySQL. Visual Studio, системы контроля..."
Программист/аналитик торговых стратегий,https://samara.hh.ru/vacancy/29835744?query=python,ООО Агроресурс,"строгое соблюдение сроков поставленных задач. - желание наращивать компетенцию в области аналитики финансовых рынков, создании торговых стратегий. Знание языков программирования (Обязательно C# и/или Python, приветствуется также знание R, Mathlab). - Опыт разработки торговых стратегий, опыт анализа данных. - "
Старший инженер по информационной безопасности,https://samara.hh.ru/vacancy/29679766?query=python,ООО ИНТЕР РАО ИТ,"Администрирование NGFW. Администрирование системы защиты электронной почты. Администрирование Sandbox. Пополнение базы IOC, автоматизация применения IOC на средствах защиты.  Навыки автоматизации рутинных операций с применением одного из высокоуровневых языков (.NET (PowerShell), Perl, Python). Навыки работы с СУБД, формирования SQL..."
Ассистент интернет-маркетолога/стажер,https://samara.hh.ru/vacancy/29873347?query=python,ИП Берёзкина М.В.,"Работать с контентом на интернет-ресурсах компании: добавлять новые статьи, обновлять фотографии, работать с каталогами товаров. Контролировать работу копирайтеров.  Знание HTML, CSS на уровне исправить существующую верстку сайта, сверстать статью; приветствуется, но не обязательно знание JavaScript, PHP, Python. "
Ведущий специалист по тестированию (QA инженер),https://samara.hh.ru/vacancy/29550350?query=python,ПАО НИС,"Smart Car – услуга предназначена для обеспечения владельца автомобиля информацией о местонахождении и состоянии автомобиля, комплексной аналитической информацией и событиях, связанных... опыт работы в автоматизированном тестировании более 5-х лет. - хорошее знание Python. - фреймворки и инструменты: Pytest, Git, SoapUI, Jmeter. - "
Инженер / Специалист по DevOps практикам,https://samara.hh.ru/vacancy/28776463?query=python,ООО Экспресс 42,Уже больше пяти лет мы переживаем за применение DevOps практик в российских (и не только) компаниях. Мы изучаем новые инструменты... Владение хотя бы одним из перечисленных языков программирования ruby/python/go. Опыт работы с одной из систем управления конфигурацией Chef...
Full-stack разработчик,https://samara.hh.ru/vacancy/29180263?query=python,АО Российские космические системы,В команду разработки ряда высоконагруженных веб-сервисов по предоставлению продуктов обработки спутниковых снимков для госкорпораций и бизнеса ищем Full-stack... Увлеченность своим делом. Есть опыт работы с другими Python фреймворками. Имеете опыт написания асинхронных приложений. Имеете опыт работы в команде...
Frontend-разработчик,https://samara.hh.ru/vacancy/29182582?query=python, Kantar TNS,"Разработка интерфейсных решений, как для внутренних нужд, так и под задачи наших клиентов. Подробнее про наши проекты мы обязательно расскажем... Приветствуется опыт работы с Redis, Redux, React. Приветствуется опыт работы с Python + Django. Необходимо умение работать с версткой и..."
Серверный разработчик С++,https://samara.hh.ru/vacancy/29756535?query=python, FUSION CORE,"Проектировать и разрабатывать игровые механики, сервисы / микро-сервисы, игровой фреймворк и библиотеки компании. Работать в группе с другими разработчиками и... Знание паттернов проектирования и уместности их использования (GRASP, GoF, и прочие). Базовые знания Python - для чтения и доработок кода различных..."
Data Analyst,https://samara.hh.ru/vacancy/29897674?query=python,ООО Велтио,"Conduct data analysis, using root cause techniques, data mining manipulation and best practices. * Assist with business case preparation. *  At minimum, a BS in Mathematics, Informatics, Computer Science or any other data oriented discipline. * Experience as a plus. * "
DevOps Engineer / Администратор Linux,https://samara.hh.ru/vacancy/29443090?query=python,ООО ВГТ,"Поддержка инфраструктуры разработки, CI/CD. Настройка и развертывание тестовых стендов. Администрирование production серверов. Мониторинг работоспособности сервисов. Знание ОС семейства Linux на уровне администратора. Опыт работы с bash, плюсом будет python. Базовые знания английского языка. "
Full-stack разработчик,https://samara.hh.ru/vacancy/29933464?query=python, Сбербанк для руководителей,"Проектировать и реализовывать внутреннюю бизнес-логику, back-end, front-end инструмента с помощью Python3.6+, JavaScript(ES6... Есть опыт разработки с использованием ReactJS/VueJS, Python3. Есть опыт разработки web-приложений (нечто большее, чем TodoMVC). "
Quantitative Analyst,https://samara.hh.ru/vacancy/29304593?query=python,ООО КВАНТПОРТРУС,"Working with large and complex datasets to build quantitative models which predict future price movements. Applying modern mathematical and statistical... Strong knowledge of probability, statistics, optimization, numerical methods. Good programming skills in Python (numpy, sklearn, pandas, matplotlib, etc.). "
Разработчик (Machine Learning),https://samara.hh.ru/vacancy/29803570?query=python,ООО НТЦ Вулкан,"Разработка и тестирование алгоритмов машинного обучения. Проведение исследований в области анализа временных рядов и данных нефиксированной размерности. Автоматизация процесса обучения... Опыт построения алгоритмов машинного обучения и их успешного применения. Владение C++ и Python. Опыт работы с фреймворками scipy, scikit-learn..."
