Название вакансии,URL,Название компании,Описание
Ведущий разработчик Python,https://samara.hh.ru/vacancy/29473166?query=python, Web Interactive World,"Разработка и совершенствование архитектуры системы. Создание приложений для получения данных из внешних источников, обеспечения работы алгоритмов хранения и обработки данных.  Уверенное знание Python (ООП), *SQL. Богатый опыт разработки, оптимальный и читабельный код. Работа с мультипоточным и асинхронным программированием, понимание разницы..."
Программист Python,https://samara.hh.ru/vacancy/29508809?query=python,ООО Advance Media,"Программист Python @ UK based AI startup. We offer a competitive salary & performance bonuses. Remote work - you decide when and how... Knowledge of Python, Django framework, interest/knowledge of JavaScript. A desire and capacity to learn is a must. "
Программист OpenLayer/Python,https://samara.hh.ru/vacancy/29757692?query=python,ЗАО ИРМ Девелопмент,"Разработка модулей для QGIS, GeoServer. Высшее профильное образование. Наличие опыта разработки на Python, java. Опыт разработки ГИС приложений. Опыт работы в командах гибкой разработки ПО."
Python разработчик,https://samara.hh.ru/vacancy/29291371?query=python,ООО БЛОКЧЕЙН СОЛЮШНС,"Разрабатывать и поддерживать сервисы Backend на Python (Async.IO) или на Node.js или на Go. Чистый Backend. Разрабатывать новый функционал.  Опыт коммерческой разработки: от 2 лет. Хорошее знание одного из языков Python, Node.js, Go. Знание классических алгоритмов и шаблонов проектирования. "
Junior/Middle Разработчик Python,https://samara.hh.ru/vacancy/29508189?query=python,ООО ТРЭЙДБОТМАРКЕТ,"Разработка и поддержка веб бэкенда. Разработка коннекторов к различным биржам (как фиатным, так и криптовалютным). Уровень — Junior/Middle. Опыт разработки на Python. Знать и применять современные паттерны разработки и принципы ООП. Опыт работы с Git. "
Программист Python,https://samara.hh.ru/vacancy/29645105?query=python, Colvir Software Solutions,Разработка и доработка промышленной интеграционной сервисной шины для финансового ПО с использованием Python. -Владение технологией оценки качества разработанного кода в... Что мы хотим видеть в кандидатах: -Навыки разработки на языке Python (Python 2+) сервисов/микросервисов. -Навыки чтения и понимания...
Программист Python (Continuous Integration),https://samara.hh.ru/vacancy/29796703?query=python, Gaijin Entertainment,"оптимизация сборки. - выполнение сборки общих библиотек. - разработка программных модулей для автоматизации/оптимизации процессов сборки и анализа качества ПО. -  отличное знание языка Python, знание и навыки работы с GIT. - хорошее понимание процессов разработки ПО. - знание Windows и Linux. - "
Программист Python (Middle),https://samara.hh.ru/vacancy/29440165?query=python,ООО Контент лайн,"Разработка, code review и рефакторинг систем. Участие в проектировании систем. Сопровождение и документирование проектов. Уверенное знание Python 2 и 3. Уверенное знание Django 1.8+ и популярных пакетов для него. Знание SQL и..."
Python-разработчик (full stack),https://samara.hh.ru/vacancy/29863892?query=python, Akvelon, Глубокое знание языка Python и в контексте бэкенд-разработки. Опыт фронтенд разработки на React. Знание английского языка на уровне upper...
Senior python разработчик,https://samara.hh.ru/vacancy/29577255?query=python,ООО Синдекс,"...с python в web (написание веб-сервисов с использованием django / flask / tornado / aiohttp / другом веб-фреймворке). Docker, написание микросервисов. Python... 1 год и более работы с flask и sqlalchemy (с чем-нибудь из списка: postgresql, mysql, mssql или oracle). "
Python Backend Engineer,https://samara.hh.ru/vacancy/29571820?query=python, NVIDIA,"Participating in creation of tools for game performance testing. Working with the team that creates very complicated tools and pipelines... 3+ years experience with Python. Knowledge of popular Python web frameworks (Flask, Django, aiohttp). Understanding of asynchronous programming. "
"Разработчик С++, Python ( Linux )",https://samara.hh.ru/vacancy/29876720?query=python,ООО ЕntеrFасе 3D," Хороший опыт работы с базами данных SQLite, MySql, PostgreSQL. Уверенное программирование на Python 3.x. Плюсами будут: Знание GitLab CI..."
Разработчик (PHP/Python/Perl),https://samara.hh.ru/vacancy/29783848?query=python, Dead or Hired,На рынке с 2004 года. Реализованы проекты в области связи и телекоммуникаций: разработка и поддержка собственной IP АТС; интеграция голосовых... Требования: Знание одного или нескольких языков - PHP/Python/Perl. Опытный пользователь Linux (Ubuntu/Debian/CentOS/RedHat). Практические навыки администрирования Linux...
Back-End Web Developer (Python),https://samara.hh.ru/vacancy/29554409?query=python, Soshace, Do you have more than 3-year commercial experience in web development on projects with Python? Can you provide a...
Middle-senior python developer (Riga),https://samara.hh.ru/vacancy/29846668?query=python, Bet.tech ,"Создавать новый, современный продукт. Без легаси кода. Вести документацию. Отличное знание python (3.7). Опыт работы с асинхронными фреймворками. Опыт работы с noSQL базами. Отличное знание веб-технологий."
Веб-разработчик (Python/Django),https://samara.hh.ru/vacancy/27377394?query=python,АО Российские космические системы,Позиция открыта в компании АО «ТЕРРА ТЕХ» - дочернем предприятии АО «Российские космические системы». Основное направление деятельности компании – разработка геоинформационных решений... Требования: Хорошие знания Python 2 и 3. Опыт разработки крупных проектов с использованием Django (DRF/REST API). Понимание объектно-ориентированного...
Backend Developer Python/GO,https://samara.hh.ru/vacancy/29558134?query=python,ООО ТолкФинанс,"Разработка чат-бота с поддержкой NLP/NLU. Проектирование микросервисов и БД. Интеграция с банками. Интеграция с внешними сервисами (API). Отличное знание и применение ООП. Опыт разработки от 3 лет. Стек: RabbitMQ, Python, Go, PostgreSQL, MongoDB. Опыт работы с Git..."
Программист Python,https://samara.hh.ru/vacancy/26216322?query=python," ГРЧЦ, ФГУП", Общий опыт работы в должности Back-end разработчика от 1 года. Опыт разработки на Python. Опыт работы с реляционными БД...
Python developer (игровые проекты компании),https://samara.hh.ru/vacancy/29793685?query=python, Дестени Продакшн,"Участие в развитие игровых проектов компании: TERA, Zula, Imperial Hero. Доработка и поддержка сайтов компании: The Abyss и Destiny.Games.  Опыт разработки на Python от 3-х лет. Уверенное знание Django/Flask. Знание принципов работы баз данных и опыт работы..."
Python Backend Junior/Middle,https://samara.hh.ru/vacancy/29608153?query=python,ООО СКАЙТРЭК,"Писать читаемый, поддерживаемый, документированный код на Python3 под Linux. Работать с Postgresql, RabbitMQ, Redis, Python3, SQLAlchemy, asyncio.  Высшее образование или подтверждение навыков. Умение структурно мыслить. Думать, потом делать. Задавать правильные вопросы. Знакомство с графовыми БД. "
Senior Software Engineer Python,https://samara.hh.ru/vacancy/29535537?query=python,ООО СофтПро,"Разработка высоконагруженных API. Оптимизация кода с целью повышения производительности. Написание python и sql кода высочайшего класса, ревью кода коллег, покрытие... Имеете опыт разработки высоконагруженных приложений. Умеете работать в команде. Cовременный стек технологий:"
"Программист (Go, Python)",https://samara.hh.ru/vacancy/29813653?query=python,ЗАО МНИТИ,"Участие в разработке специальных информационных систем. Желательно: - знакомство с SQL, Java Script, HTML. - опыт работы с нейронными сетями. - опыт работы с Linux (Debian). - опыт работы с..."
"Web Developer (Python, Back-end)",https://samara.hh.ru/vacancy/29715797?query=python, МФТИ ГУ,Разработка Web-приложений и Web-сервисов (REST API). Хорошее знание Python. Опыт разработки web-сервисов на Flask/Django. Опыт работы с REST API. Умение и желание писать unit...
Программист Python,https://samara.hh.ru/vacancy/29638653?query=python, KamaGames Studio,"Система аутентификации и авторизации пользователей. Система мониторинга (веб-интерфейс для Zabbix). Система переводов для отдела локализации. Системы сбора данных с... Хорошие навыки программирования на Python. Уверенные навыки работы с Linux. Общая инженерная адекватность приветствуется: базовые знания сетей, представление о том..."
Стажер junior разработчик Python для сопровождения биллинга,https://samara.hh.ru/vacancy/29766666?query=python,ООО Форкод Медиа,"Оказывать техническую поддержку отделу расчетов. Подготавливать сложные отчеты используя SQL и Python. Траблшутинг, анализ и поиск оптимальных решений проблем.  Знание SQL (MySQL, PostgreSQL). Базовые знания Python, знакомство с Django (предстоит работать с ORM). Навык работы в Linux. "
Back-end Python Developer / Разработчик Back-end Python,https://samara.hh.ru/vacancy/29711326?query=python,ООО Fincollect SE,"Работаем спринтами. Используем Python 3.6, Django 2.0, DRF, Celery, Docker, PostgreSQL. Наводим красоту при помощи Isort, Black, Flake... Общий опыт разработки на Python от 2 лет. Обязателен опыт коммерческой разработки веб сервисов. Опыт использования Linux на уровне продвинутого..."
Fullstack developer (React/Python),https://samara.hh.ru/vacancy/29215347?query=python, Шаресофт,"Разработка непосредственно сайта и его интеграция с сервером приложений. Хорошее знание JavaScript (ES6+), React и Redux. - Знание Python (2.7 и 3.5+). - Знакомство с HTML..."
